BHID,DEPTH,DIP,AZIMTH,DIPREL,AZMREL,SURTYP
,,,,,,
EA0001RT,.000,-90.000,.000,POOR,POOR,DES
EA0001RT,5.000,-89.330,234.560,HIGH,HIGH,WIRE
EA0001RT,10.000,-88.830,194.700,HIGH,HIGH,WIRE
EA0001RT,15.000,-88.860,172.130,HIGH,HIGH,WIRE
EA0001RT,20.000,-88.790,163.900,HIGH,HIGH,WIRE
EA0001RT,25.000,-89.010,146.760,HIGH,HIGH,WIRE
EA0001RT,30.000,-89.340,137.520,HIGH,HIGH,WIRE
EA0001RT,35.000,-89.730,248.250,HIGH,HIGH,WIRE
EA0001RT,40.000,-89.220,245.730,HIGH,HIGH,WIRE
EA0001RT,45.000,-89.150,239.190,HIGH,HIGH,WIRE
EA0001RT,50.000,-89.120,171.840,HIGH,HIGH,WIRE
EA0001RT,55.000,-89.010,139.300,HIGH,HIGH,WIRE
EA0001RT,60.000,-88.900,131.490,HIGH,HIGH,WIRE
EA0001RT,65.000,-88.490,102.090,HIGH,HIGH,WIRE
EA0001RT,70.000,-88.210,102.100,HIGH,HIGH,WIRE
EA0001RT,75.000,-87.900,109.280,HIGH,HIGH,WIRE
EA0001RT,80.000,-87.770,114.340,HIGH,HIGH,WIRE
EA0001RT,85.000,-87.340,121.400,HIGH,HIGH,WIRE
EA0002RT,.000,-89.400,353.920,HIGH,HIGH,WIRE
EA0002RT,5.000,-88.860,354.410,HIGH,HIGH,WIRE
EA0002RT,10.000,-88.440,10.050,HIGH,HIGH,WIRE
EA0002RT,15.000,-87.960,16.360,HIGH,HIGH,WIRE
EA0002RT,20.000,-87.510,12.420,HIGH,HIGH,WIRE
EA0002RT,25.000,-86.960,17.490,HIGH,HIGH,WIRE
EA0002RT,30.000,-86.670,23.020,HIGH,HIGH,WIRE
EA0002RT,35.000,-86.550,27.670,HIGH,HIGH,WIRE
EA0002RT,40.000,-86.360,33.850,HIGH,HIGH,WIRE
EA0002RT,45.000,-86.480,39.780,HIGH,HIGH,WIRE
EA0002RT,50.000,-86.310,56.500,HIGH,HIGH,WIRE
EA0002RT,55.000,-85.650,63.470,HIGH,HIGH,WIRE
EA0002RT,60.000,-85.480,73.280,HIGH,HIGH,WIRE
EA0002RT,65.000,-85.010,83.520,HIGH,HIGH,WIRE
EA0002RT,70.000,-84.700,92.660,HIGH,HIGH,WIRE
EA0002RT,75.000,-84.500,96.460,HIGH,HIGH,WIRE
EA0002RT,80.000,-84.000,100.310,HIGH,HIGH,WIRE
EA0003RT,.000,-90.000,.000,POOR,POOR,DES
EA0004RT,.000,-88.960,245.650,HIGH,HIGH,WIRE
EA0004RT,5.000,-89.620,161.790,HIGH,HIGH,WIRE
EA0004RT,10.000,-89.360,175.460,HIGH,HIGH,WIRE
EA0004RT,15.000,-89.520,130.010,HIGH,HIGH,WIRE
EA0004RT,20.000,-88.960,84.570,HIGH,HIGH,WIRE
EA0004RT,25.000,-88.500,92.990,HIGH,HIGH,WIRE
EA0004RT,30.000,-88.540,82.210,HIGH,HIGH,WIRE
EA0004RT,35.000,-88.000,80.750,HIGH,HIGH,WIRE
EA0004RT,40.000,-88.080,68.020,HIGH,HIGH,WIRE
EA0004RT,45.000,-87.670,60.470,HIGH,HIGH,WIRE
EA0004RT,50.000,-87.420,60.080,HIGH,HIGH,WIRE
EA0004RT,55.000,-86.510,73.510,HIGH,HIGH,WIRE
EA0004RT,60.000,-85.850,82.830,HIGH,HIGH,WIRE
EA0004RT,65.000,-85.680,87.350,HIGH,HIGH,WIRE
EA0004RT,70.000,-84.960,89.810,HIGH,HIGH,WIRE
EA0004RT,75.000,-84.800,94.530,HIGH,HIGH,WIRE
EA0004RT,80.000,-84.600,97.810,HIGH,HIGH,WIRE
EA0004RT,85.000,-84.430,109.210,HIGH,HIGH,WIRE
EA0004RT,90.000,-84.540,96.430,HIGH,HIGH,WIRE
EA0004RT,95.000,-84.470,101.820,HIGH,HIGH,WIRE
EA0005RT,.000,-89.590,230.010,HIGH,HIGH,WIRE
EA0005RT,5.000,-89.810,237.650,HIGH,HIGH,WIRE
EA0005RT,10.000,-89.050,226.630,HIGH,HIGH,WIRE
EA0005RT,15.000,-88.590,194.260,HIGH,HIGH,WIRE
EA0005RT,20.000,-88.320,169.130,HIGH,HIGH,WIRE
EA0006RT,.000,-90.000,.000,POOR,POOR,DES
EA0006RT,5.000,-89.730,217.930,HIGH,HIGH,WIRE
EA0006RT,10.000,-89.770,277.350,HIGH,HIGH,WIRE
EA0006RT,15.000,-89.660,351.940,HIGH,HIGH,WIRE
EA0006RT,20.000,-89.210,36.210,HIGH,HIGH,WIRE
EA0006RT,25.000,-89.170,41.890,HIGH,HIGH,WIRE
EA0006RT,30.000,-88.810,50.990,HIGH,HIGH,WIRE
EA0006RT,35.000,-88.400,67.530,HIGH,HIGH,WIRE
EA0006RT,40.000,-88.390,72.070,HIGH,HIGH,WIRE
EA0006RT,45.000,-87.980,70.220,HIGH,HIGH,WIRE
EA0006RT,50.000,-87.380,72.300,HIGH,HIGH,WIRE
EA0006RT,55.000,-87.470,73.470,HIGH,HIGH,WIRE
EA0006RT,60.000,-87.740,72.690,HIGH,HIGH,WIRE
EA0006RT,65.000,-87.420,76.540,HIGH,HIGH,WIRE
EA0006RT,70.000,-87.890,72.820,HIGH,HIGH,WIRE
EA0006RT,75.000,-87.820,77.700,HIGH,HIGH,WIRE
EA0006RT,80.000,-87.450,73.340,HIGH,HIGH,WIRE
EA0006RT,85.000,-86.870,79.110,HIGH,HIGH,WIRE
EA0007RT,.000,-88.960,203.900,HIGH,HIGH,WIRE
EA0007RT,5.000,-88.320,193.540,HIGH,HIGH,WIRE
EA0007RT,10.000,-88.780,194.140,HIGH,HIGH,WIRE
EA0007RT,15.000,-88.650,183.910,HIGH,HIGH,WIRE
EA0007RT,20.000,-88.710,174.080,HIGH,HIGH,WIRE
EA0007RT,25.000,-89.000,165.220,HIGH,HIGH,WIRE
EA0007RT,30.000,-89.450,130.750,HIGH,HIGH,WIRE
EA0007RT,35.000,-88.310,141.050,HIGH,HIGH,WIRE
EA0007RT,45.000,-85.800,139.890,HIGH,HIGH,WIRE
EA0007RT,50.000,-84.320,136.660,HIGH,HIGH,WIRE
EA0007RT,55.000,-82.980,139.250,HIGH,HIGH,WIRE
EA0007RT,60.000,-82.520,136.930,HIGH,HIGH,WIRE
EA0007RT,65.000,-81.470,147.330,HIGH,HIGH,WIRE
EA0007RT,70.000,-81.500,147.230,HIGH,HIGH,WIRE
EA0007RT,75.000,-81.420,149.590,HIGH,HIGH,WIRE
EA0007RT,80.000,-81.630,144.250,HIGH,HIGH,WIRE
EA0007RT,85.000,-81.530,147.180,HIGH,HIGH,WIRE
EA0007RT,90.000,-81.710,148.970,HIGH,HIGH,WIRE
EA0008RT,.000,-90.000,.000,POOR,POOR,DES
EA0008RT,5.000,-89.620,51.240,HIGH,HIGH,WIRE
EA0008RT,10.000,-89.620,41.230,HIGH,HIGH,WIRE
EA0008RT,15.000,-89.550,354.810,HIGH,HIGH,WIRE
EA0008RT,20.000,-89.730,269.900,HIGH,HIGH,WIRE
EA0009RT,.000,-89.760,227.430,HIGH,HIGH,WIRE
EA0009RT,5.000,-89.760,214.110,HIGH,HIGH,WIRE
EA0009RT,10.000,-89.780,196.440,HIGH,HIGH,WIRE
EA0009RT,15.000,-89.770,164.500,HIGH,HIGH,WIRE
EA0009RT,20.000,-89.620,150.080,HIGH,HIGH,WIRE
EA0009RT,25.000,-89.310,119.560,HIGH,HIGH,WIRE
EA0009RT,30.000,-88.900,88.050,HIGH,HIGH,WIRE
EA0009RT,35.000,-87.900,96.540,HIGH,HIGH,WIRE
EA0009RT,40.000,-87.210,101.370,HIGH,HIGH,WIRE
EA0009RT,45.000,-86.960,98.610,HIGH,HIGH,WIRE
EA0009RT,50.000,-86.710,99.090,HIGH,HIGH,WIRE
EA0009RT,55.000,-86.140,105.420,HIGH,HIGH,WIRE
EA0009RT,60.000,-85.240,111.100,HIGH,HIGH,WIRE
EA0009RT,65.000,-84.820,112.680,HIGH,HIGH,WIRE
EA0009RT,70.000,-84.670,110.840,HIGH,HIGH,WIRE
EA0010RT,.000,-89.710,196.480,HIGH,HIGH,WIRE
EA0010RT,5.000,-89.420,228.420,HIGH,HIGH,WIRE
EA0010RT,10.000,-89.110,231.560,HIGH,HIGH,WIRE
EA0010RT,15.000,-89.270,227.940,HIGH,HIGH,WIRE
EA0010RT,20.000,-89.480,219.250,HIGH,HIGH,WIRE
EA0010RT,25.000,-89.400,245.740,HIGH,HIGH,WIRE
EA0010RT,30.000,-89.780,255.230,HIGH,HIGH,WIRE
EA0010RT,35.000,-89.800,331.050,HIGH,HIGH,WIRE
EA0010RT,40.000,-89.460,30.700,HIGH,HIGH,WIRE
EA0010RT,45.000,-88.970,34.750,HIGH,HIGH,WIRE
EA0010RT,50.000,-88.530,53.840,HIGH,HIGH,WIRE
EA0010RT,55.000,-87.670,69.960,HIGH,HIGH,WIRE
EA0010RT,60.000,-87.050,86.890,HIGH,HIGH,WIRE
EA0011RT,.000,-89.650,76.800,HIGH,HIGH,WIRE
EA0011RT,5.000,-88.870,55.130,HIGH,HIGH,WIRE
EA0011RT,10.000,-88.600,52.860,HIGH,HIGH,WIRE
EA0011RT,15.000,-88.550,36.150,HIGH,HIGH,WIRE
EA0011RT,20.000,-88.980,26.370,HIGH,HIGH,WIRE
EA0011RT,25.000,-88.480,36.950,HIGH,HIGH,WIRE
EA0011RT,30.000,-88.860,13.480,HIGH,HIGH,WIRE
EA0011RT,35.000,-88.890,285.870,HIGH,HIGH,WIRE
EA0011RT,40.000,-88.880,203.830,HIGH,HIGH,WIRE
EA0011RT,45.000,-88.760,198.920,HIGH,HIGH,WIRE
EA0011RT,50.000,-88.690,197.880,HIGH,HIGH,WIRE
EA0011RT,55.000,-87.540,192.620,HIGH,HIGH,WIRE
EA0011RT,60.000,-86.950,195.570,HIGH,HIGH,WIRE
EA0011RT,65.000,-86.360,185.590,HIGH,HIGH,WIRE
EA0011RT,70.000,-85.790,204.150,HIGH,HIGH,WIRE
EA0011RT,75.000,-85.470,188.620,HIGH,HIGH,WIRE
EA0012RT,.000,-89.150,160.740,HIGH,HIGH,WIRE
EA0012RT,5.000,-88.570,141.980,HIGH,HIGH,WIRE
EA0012RT,10.000,-88.340,150.750,HIGH,HIGH,WIRE
EA0012RT,15.000,-88.670,154.330,HIGH,HIGH,WIRE
EA0012RT,20.000,-88.390,159.410,HIGH,HIGH,WIRE
EA0012RT,25.000,-88.600,152.980,HIGH,HIGH,WIRE
EA0012RT,30.000,-88.540,140.610,HIGH,HIGH,WIRE
EA0012RT,35.000,-88.240,140.080,HIGH,HIGH,WIRE
EA0012RT,40.000,-88.020,148.370,HIGH,HIGH,WIRE
EA0012RT,45.000,-87.860,150.520,HIGH,HIGH,WIRE
EA0012RT,50.000,-88.320,146.760,HIGH,HIGH,WIRE
EA0012RT,55.000,-88.610,134.150,HIGH,HIGH,WIRE
EA0012RT,60.000,-87.530,139.550,HIGH,HIGH,WIRE
EA0012RT,65.000,-87.890,142.050,HIGH,HIGH,WIRE
EA0012RT,70.000,-87.810,141.200,HIGH,HIGH,WIRE
EA0012RT,75.000,-87.890,138.040,HIGH,HIGH,WIRE
EA0012RT,80.000,-87.710,129.940,HIGH,HIGH,WIRE
EA0012RT,85.000,-87.480,137.890,HIGH,HIGH,WIRE
EA0013RT,.000,-89.750,71.140,HIGH,HIGH,WIRE
EA0013RT,5.000,-88.510,21.860,HIGH,HIGH,WIRE
EA0013RT,10.000,-88.710,359.730,HIGH,HIGH,WIRE
EA0013RT,15.000,-89.090,340.530,HIGH,HIGH,WIRE
EA0013RT,20.000,-88.030,352.020,HIGH,HIGH,WIRE
EA0013RT,25.000,-87.930,351.370,HIGH,HIGH,WIRE
EA0013RT,30.000,-87.830,348.370,HIGH,HIGH,WIRE
EA0013RT,35.000,-87.610,338.350,HIGH,HIGH,WIRE
EA0013RT,40.000,-87.470,339.590,HIGH,HIGH,WIRE
EA0013RT,45.000,-87.850,342.760,HIGH,HIGH,WIRE
EA0013RT,50.000,-88.240,353.880,HIGH,HIGH,WIRE
EA0013RT,55.000,-88.800,351.710,HIGH,HIGH,WIRE
EA0013RT,60.000,-88.920,325.410,HIGH,HIGH,WIRE
EA0013RT,65.000,-88.880,327.450,HIGH,HIGH,WIRE
EA0013RT,70.000,-88.820,327.910,HIGH,HIGH,WIRE
EA0013RT,75.000,-88.890,332.880,HIGH,HIGH,WIRE
EA0014RT,5.000,-86.110,8.020,HIGH,HIGH,WIRE
EA0014RT,10.000,-86.180,12.900,HIGH,HIGH,WIRE
EA0014RT,15.000,-86.580,16.850,HIGH,HIGH,WIRE
EA0014RT,20.000,-86.490,16.610,HIGH,HIGH,WIRE
EA0014RT,25.000,-85.570,15.540,HIGH,HIGH,WIRE
EA0014RT,30.000,-86.140,15.220,HIGH,HIGH,WIRE
EA0014RT,40.000,-86.280,7.410,HIGH,HIGH,WIRE
EA0014RT,45.000,-86.570,7.680,HIGH,HIGH,WIRE
EA0014RT,50.000,-86.370,17.900,HIGH,HIGH,WIRE
EA0014RT,55.000,-86.830,17.120,HIGH,HIGH,WIRE
EA0014RT,60.000,-86.450,10.530,HIGH,HIGH,WIRE
EA0015RT,.000,-88.810,66.200,HIGH,HIGH,WIRE
EA0015RT,5.000,-88.090,91.260,HIGH,HIGH,WIRE
EA0015RT,10.000,-87.920,99.960,HIGH,HIGH,WIRE
EA0015RT,15.000,-87.930,104.780,HIGH,HIGH,WIRE
EA0015RT,20.000,-88.080,99.040,HIGH,HIGH,WIRE
EA0015RT,25.000,-88.160,87.710,HIGH,HIGH,WIRE
EA0015RT,30.000,-87.660,85.480,HIGH,HIGH,WIRE
EA0015RT,35.000,-87.640,96.720,HIGH,HIGH,WIRE
EA0015RT,40.000,-87.780,105.570,HIGH,HIGH,WIRE
EA0015RT,45.000,-88.160,99.870,HIGH,HIGH,WIRE
EA0015RT,50.000,-88.220,104.440,HIGH,HIGH,WIRE
EA0015RT,55.000,-87.650,110.530,HIGH,HIGH,WIRE
EA0015RT,60.000,-86.980,129.630,HIGH,HIGH,WIRE
EA0015RT,65.000,-86.120,141.800,HIGH,HIGH,WIRE
EA0015RT,70.000,-85.660,144.760,HIGH,HIGH,WIRE
EA0015RT,75.000,-86.010,143.890,HIGH,HIGH,WIRE
EA0016RT,.000,-90.000,.000,POOR,POOR,DES
EA0016RT,5.000,-87.020,273.100,HIGH,HIGH,WIRE
EA0016RT,10.000,-87.240,263.390,HIGH,HIGH,WIRE
EA0016RT,15.000,-87.020,266.150,HIGH,HIGH,WIRE
EA0016RT,20.000,-86.620,268.020,HIGH,HIGH,WIRE
EA0016RT,25.000,-86.590,275.070,HIGH,HIGH,WIRE
EA0016RT,30.000,-86.660,276.160,HIGH,HIGH,WIRE
EA0016RT,35.000,-86.590,277.590,HIGH,HIGH,WIRE
EA0016RT,40.000,-86.160,286.890,HIGH,HIGH,WIRE
EA0016RT,45.000,-86.100,291.630,HIGH,HIGH,WIRE
EA0016RT,50.000,-85.620,301.620,HIGH,HIGH,WIRE
EA0016RT,55.000,-85.020,304.490,HIGH,HIGH,WIRE
EA0016RT,60.000,-84.920,304.370,HIGH,HIGH,WIRE
EA0016RT,65.000,-84.900,307.740,HIGH,HIGH,WIRE
EA0016RT,70.000,-84.970,309.360,HIGH,HIGH,WIRE
EA0016RT,75.000,-84.730,313.190,HIGH,HIGH,WIRE
EA0016RT,80.000,-84.650,312.630,HIGH,HIGH,WIRE
EA0016RT,85.000,-85.310,316.510,HIGH,HIGH,WIRE
EA0017RT,.000,-88.810,80.430,HIGH,HIGH,WIRE
EA0017RT,5.000,-88.180,145.090,HIGH,HIGH,WIRE
EA0017RT,10.000,-88.260,52.710,HIGH,HIGH,WIRE
EA0017RT,15.000,-88.040,32.540,HIGH,HIGH,WIRE
EA0017RT,20.000,-88.220,33.440,HIGH,HIGH,WIRE
EA0017RT,25.000,-87.870,38.390,HIGH,HIGH,WIRE
EA0017RT,30.000,-88.270,40.100,HIGH,HIGH,WIRE
EA0017RT,35.000,-88.560,25.280,HIGH,HIGH,WIRE
EA0017RT,40.000,-88.420,26.820,HIGH,HIGH,WIRE
EA0017RT,45.000,-88.370,51.320,HIGH,HIGH,WIRE
EA0017RT,50.000,-88.470,73.010,HIGH,HIGH,WIRE
EA0017RT,55.000,-88.720,113.100,HIGH,HIGH,WIRE
EA0017RT,60.000,-87.880,134.700,HIGH,HIGH,WIRE
EA0017RT,65.000,-87.390,139.980,HIGH,HIGH,WIRE
EA0018RT,.000,-90.000,.000,POOR,POOR,DES
EA0018RT,5.000,-89.700,34.180,HIGH,HIGH,WIRE
EA0018RT,10.000,-89.610,38.060,HIGH,HIGH,WIRE
EA0018RT,15.000,-89.110,62.350,HIGH,HIGH,WIRE
EA0018RT,20.000,-88.610,54.240,HIGH,HIGH,WIRE
EA0019RT,.000,-89.410,290.990,HIGH,HIGH,WIRE
EA0019RT,5.000,-87.850,293.290,HIGH,HIGH,WIRE
EA0019RT,10.000,-87.920,286.810,HIGH,HIGH,WIRE
EA0019RT,15.000,-88.110,289.020,HIGH,HIGH,WIRE
EA0019RT,20.000,-87.900,279.800,HIGH,HIGH,WIRE
EA0019RT,25.000,-88.170,272.190,HIGH,HIGH,WIRE
EA0020RT,.000,-89.490,303.320,HIGH,HIGH,WIRE
EA0020RT,5.000,-89.410,277.440,HIGH,HIGH,WIRE
EA0020RT,10.000,-89.620,280.110,HIGH,HIGH,WIRE
EA0020RT,15.000,-89.630,285.040,HIGH,HIGH,WIRE
EA0021RT,.000,-89.730,241.510,HIGH,HIGH,WIRE
EA0021RT,5.000,-88.570,327.110,HIGH,HIGH,WIRE
EA0021RT,10.000,-88.230,340.940,HIGH,HIGH,WIRE
EA0021RT,15.000,-88.540,352.690,HIGH,HIGH,WIRE
EA0021RT,20.000,-88.390,351.420,HIGH,HIGH,WIRE
EA0021RT,25.000,-88.190,350.870,HIGH,HIGH,WIRE
EA0021RT,30.000,-87.700,353.120,HIGH,HIGH,WIRE
EA0021RT,35.000,-88.280,354.180,HIGH,HIGH,WIRE
EA0021RT,40.000,-88.640,356.720,HIGH,HIGH,WIRE
EA0021RT,45.000,-89.260,339.760,HIGH,HIGH,WIRE
EA0021RT,50.000,-89.650,328.630,HIGH,HIGH,WIRE
EA0021RT,55.000,-89.700,258.310,HIGH,HIGH,WIRE
EA0021RT,60.000,-88.370,186.070,HIGH,HIGH,WIRE
EA0021RT,65.000,-87.400,184.980,HIGH,HIGH,WIRE
EA0021RT,70.000,-87.010,181.390,HIGH,HIGH,WIRE
EA0021RT,75.000,-86.590,177.760,HIGH,HIGH,WIRE
EA0021RT,80.000,-86.100,171.390,HIGH,HIGH,WIRE
EA0021RT,85.000,-85.820,168.730,HIGH,HIGH,WIRE
EA0021RT,90.000,-85.730,167.420,HIGH,HIGH,WIRE
EA0022RT,.000,-89.450,164.670,HIGH,HIGH,WIRE
EA0022RT,5.000,-88.730,163.720,HIGH,HIGH,WIRE
EA0022RT,10.000,-88.340,198.070,HIGH,HIGH,WIRE
EA0022RT,15.000,-87.910,195.730,HIGH,HIGH,WIRE
EA0022RT,20.000,-87.910,198.830,HIGH,HIGH,WIRE
EA0022RT,25.000,-88.010,202.590,HIGH,HIGH,WIRE
EA0022RT,30.000,-87.640,202.040,HIGH,HIGH,WIRE
EA0022RT,35.000,-87.520,199.020,HIGH,HIGH,WIRE
EA0022RT,40.000,-87.620,202.450,HIGH,HIGH,WIRE
EA0022RT,45.000,-87.610,198.620,HIGH,HIGH,WIRE
EA0022RT,50.000,-87.180,195.420,HIGH,HIGH,WIRE
EA0022RT,55.000,-87.420,192.860,HIGH,HIGH,WIRE
EA0022RT,60.000,-87.370,199.300,HIGH,HIGH,WIRE
EA0022RT,65.000,-87.560,190.650,HIGH,HIGH,WIRE
EA0022RT,70.000,-87.430,189.990,HIGH,HIGH,WIRE
EA0022RT,75.000,-87.470,186.270,HIGH,HIGH,WIRE
EA0022RT,80.000,-87.320,179.040,HIGH,HIGH,WIRE
EA0022RT,85.000,-87.300,176.240,HIGH,HIGH,WIRE
EA0022RT,90.000,-87.190,178.240,HIGH,HIGH,WIRE
EA0023RT,.000,-90.000,.000,POOR,POOR,DES
EA0023RT,5.000,-89.780,190.240,HIGH,HIGH,WIRE
EA0023RT,10.000,-88.920,176.640,HIGH,HIGH,WIRE
EA0023RT,15.000,-88.810,146.610,HIGH,HIGH,WIRE
EA0023RT,20.000,-89.090,147.640,HIGH,HIGH,WIRE
EA0023RT,25.000,-88.760,158.420,HIGH,HIGH,WIRE
EA0023RT,30.000,-88.780,166.160,HIGH,HIGH,WIRE
EA0023RT,35.000,-89.000,173.430,HIGH,HIGH,WIRE
EA0023RT,40.000,-88.510,162.400,HIGH,HIGH,WIRE
EA0023RT,45.000,-88.120,148.320,HIGH,HIGH,WIRE
EA0023RT,50.000,-87.950,150.140,HIGH,HIGH,WIRE
EA0023RT,55.000,-87.860,169.680,HIGH,HIGH,WIRE
EA0023RT,60.000,-87.140,175.870,HIGH,HIGH,WIRE
EA0023RT,65.000,-85.710,171.390,HIGH,HIGH,WIRE
EA0023RT,70.000,-84.700,169.390,HIGH,HIGH,WIRE
EA0023RT,75.000,-84.550,167.230,HIGH,HIGH,WIRE
EA0023RT,80.000,-84.200,168.140,HIGH,HIGH,WIRE
EA0023RT,85.000,-84.170,169.480,HIGH,HIGH,WIRE
EA0023RT,90.000,-83.820,169.410,HIGH,HIGH,WIRE
EA0023RT,95.000,-83.540,169.460,HIGH,HIGH,WIRE
EA0024RT,.000,-90.000,.000,POOR,POOR,DES
EA0024RT,5.000,-87.320,290.200,HIGH,HIGH,WIRE
EA0024RT,10.000,-87.000,300.720,HIGH,HIGH,WIRE
EA0024RT,15.000,-87.090,304.290,HIGH,HIGH,WIRE
EA0024RT,20.000,-87.380,308.630,HIGH,HIGH,WIRE
EA0024RT,25.000,-87.620,304.160,HIGH,HIGH,WIRE
EA0024RT,30.000,-88.390,300.970,HIGH,HIGH,WIRE
EA0024RT,35.000,-89.190,287.840,HIGH,HIGH,WIRE
EA0024RT,40.000,-88.770,247.330,HIGH,HIGH,WIRE
EA0024RT,45.000,-88.710,230.430,HIGH,HIGH,WIRE
EA0024RT,50.000,-88.520,198.380,HIGH,HIGH,WIRE
EA0024RT,55.000,-87.970,197.110,HIGH,HIGH,WIRE
EA0024RT,60.000,-87.630,181.740,HIGH,HIGH,WIRE
EA0024RT,65.000,-86.620,180.550,HIGH,HIGH,WIRE
EA0024RT,70.000,-86.210,172.660,HIGH,HIGH,WIRE
EA0025RT,.000,-90.000,.000,POOR,POOR,DES
EA0025RT,5.000,-88.470,185.570,HIGH,HIGH,WIRE
EA0025RT,10.000,-88.290,227.910,HIGH,HIGH,WIRE
EA0025RT,15.000,-88.750,311.350,HIGH,HIGH,WIRE
EA0025RT,20.000,-88.580,157.130,HIGH,HIGH,WIRE
EA0025RT,25.000,-88.500,218.250,HIGH,HIGH,WIRE
EA0025RT,30.000,-88.380,235.690,HIGH,HIGH,WIRE
EA0025RT,35.000,-88.310,261.670,HIGH,HIGH,WIRE
EA0025RT,40.000,-89.110,8.100,HIGH,HIGH,WIRE
EA0025RT,45.000,-88.940,73.500,HIGH,HIGH,WIRE
EA0025RT,50.000,-88.870,106.170,HIGH,HIGH,WIRE
EA0025RT,55.000,-88.710,169.980,HIGH,HIGH,WIRE
EA0025RT,60.000,-88.100,206.200,HIGH,HIGH,WIRE
EA0025RT,65.000,-88.450,224.700,HIGH,HIGH,WIRE
EA0025RT,70.000,-88.330,246.250,HIGH,HIGH,WIRE
EA0025RT,75.000,-89.050,13.670,HIGH,HIGH,WIRE
EA0025RT,80.000,-88.750,64.910,HIGH,HIGH,WIRE
EA0025RT,85.000,-88.390,125.560,HIGH,HIGH,WIRE
EA0025RT,90.000,-87.710,175.530,HIGH,HIGH,WIRE
EA0025RT,95.000,-87.260,215.700,HIGH,HIGH,WIRE
EA0025RT,100.000,-86.560,222.510,HIGH,HIGH,WIRE
EA0026RT,5.000,-88.950,185.480,HIGH,HIGH,WIRE
EA0026RT,10.000,-88.760,181.650,HIGH,HIGH,WIRE
EA0026RT,15.000,-88.130,178.190,HIGH,HIGH,WIRE
EA0026RT,20.000,-88.280,168.720,HIGH,HIGH,WIRE
EA0026RT,25.000,-87.390,153.890,HIGH,HIGH,WIRE
EA0026RT,30.000,-86.840,150.350,HIGH,HIGH,WIRE
EA0026RT,35.000,-86.880,160.070,HIGH,HIGH,WIRE
EA0027RT,5.000,-88.940,327.490,HIGH,HIGH,WIRE
EA0027RT,10.000,-88.880,340.330,HIGH,HIGH,WIRE
EA0027RT,15.000,-88.120,15.740,HIGH,HIGH,WIRE
EA0027RT,20.000,-87.640,15.020,HIGH,HIGH,WIRE
EA0027RT,25.000,-86.770,15.560,HIGH,HIGH,WIRE
EA0027RT,30.000,-86.000,27.060,HIGH,HIGH,WIRE
EA0027RT,35.000,-85.660,32.010,HIGH,HIGH,WIRE
EA0027RT,40.000,-85.480,32.100,HIGH,HIGH,WIRE
EA0027RT,45.000,-84.820,28.330,HIGH,HIGH,WIRE
EA0027RT,50.000,-84.860,19.850,HIGH,HIGH,WIRE
EA0027RT,55.000,-83.820,28.220,HIGH,HIGH,WIRE
EA0027RT,60.000,-83.310,25.130,HIGH,HIGH,WIRE
EA0027RT,65.000,-83.140,27.200,HIGH,HIGH,WIRE
EA0028RT,.000,-89.430,67.360,HIGH,HIGH,WIRE
EA0028RT,5.000,-89.600,185.700,HIGH,HIGH,WIRE
EA0028RT,10.000,-89.530,221.460,HIGH,HIGH,WIRE
EA0028RT,15.000,-89.350,244.290,HIGH,HIGH,WIRE
EA0028RT,20.000,-89.000,278.020,HIGH,HIGH,WIRE
EA0028RT,25.000,-89.220,258.470,HIGH,HIGH,WIRE
EA0028RT,30.000,-89.360,253.170,HIGH,HIGH,WIRE
EA0028RT,35.000,-89.380,288.370,HIGH,HIGH,WIRE
EA0028RT,40.000,-89.060,328.660,HIGH,HIGH,WIRE
EA0028RT,45.000,-88.760,338.700,HIGH,HIGH,WIRE
EA0028RT,50.000,-88.520,349.200,HIGH,HIGH,WIRE
EA0028RT,55.000,-88.700,359.890,HIGH,HIGH,WIRE
EA0028RT,60.000,-88.220,4.380,HIGH,HIGH,WIRE
EA0028RT,65.000,-87.930,357.890,HIGH,HIGH,WIRE
EA0028RT,70.000,-87.980,358.330,HIGH,HIGH,WIRE
EA0029RT,.000,-89.390,250.230,HIGH,HIGH,WIRE
EA0029RT,5.000,-89.190,283.780,HIGH,HIGH,WIRE
EA0029RT,10.000,-88.710,271.710,HIGH,HIGH,WIRE
EA0029RT,15.000,-88.510,268.570,HIGH,HIGH,WIRE
EA0029RT,20.000,-88.680,257.890,HIGH,HIGH,WIRE
EA0029RT,25.000,-89.270,259.490,HIGH,HIGH,WIRE
EA0029RT,30.000,-89.260,293.880,HIGH,HIGH,WIRE
EA0029RT,35.000,-89.280,308.390,HIGH,HIGH,WIRE
EA0029RT,40.000,-88.670,315.800,HIGH,HIGH,WIRE
EA0029RT,45.000,-87.700,315.300,HIGH,HIGH,WIRE
EA0029RT,50.000,-87.530,312.660,HIGH,HIGH,WIRE
EA0029RT,55.000,-87.390,308.070,HIGH,HIGH,WIRE
EA0029RT,60.000,-87.110,304.690,HIGH,HIGH,WIRE
EA0029RT,65.000,-87.520,309.640,HIGH,HIGH,WIRE
EA0029RT,70.000,-87.570,322.580,HIGH,HIGH,WIRE
EA0029RT,75.000,-86.590,320.850,HIGH,HIGH,WIRE
EA0029RT,80.000,-86.700,321.600,HIGH,HIGH,WIRE
